accel,angle,brake,clutch,curLapTime,damage,distFromStart,distRaced,focus,focus_0,focus_1,focus_2,focus_3,focus_4,fuel,gear,lastLapTime,meta,opponents_0,opponents_1,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_2,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_3,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,racePos,rpm,speedX,speedY,speedZ,steer,trackPos,track_0,track_1,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z
1.0,0.00171822,0.0,0.0,0.44,1,2877.65,0.0180664,0,-1,-1,-1,-1,-1,49.9998,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.13837,1.34251,-0.692158,0.0,0.0222258,14.6666,15.191,172.543,87.4494,58.8663,44.6213,30.5758,21.6475,17.688,15.867,15.3334,16.9524,20.7775,29.4208,43.0858,57.0333,85.2929,171.652,200,1.29712,4.7395,-0.159177,2.61016,0.477717
1.0,-0.00193435,0.0,0.0,0.46,1,2877.65,0.0251465,0,-1,-1,-1,-1,-1,49.9997,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.33785,1.10522,-0.63794,0.0,0.0226703,14.66,15.1693,179.987,89.3199,59.7005,45.0911,30.7833,21.7362,17.733,15.8895,15.3401,16.909,20.6923,29.222,42.6362,56.2357,83.5073,164.566,200,1.77094,5.97731,3.17549,-1.76848,0.475656
1.0,-0.00503332,0.0,0.0,0.48,1,2877.66,0.0332031,0,-1,-1,-1,-1,-1,49.9997,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.54964,0.922692,-0.571325,0.0,0.0230438,14.6545,15.151,186.822,90.97,60.4269,45.4975,30.9616,21.8121,17.7715,15.9087,15.3459,16.8726,20.6208,29.0557,42.2625,55.5767,82.0499,158.995,200,1.76633,5.33797,-0.028787,3.17592,0.473897
1.0,-0.00767404,0.0,0.0,0.502,1,2877.67,0.043457,0,-1,-1,-1,-1,-1,49.9997,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.76524,0.731139,-0.486111,0.0,0.0233826,14.6497,15.1354,193.071,92.4266,61.0613,45.8506,31.116,21.8778,17.8049,15.9255,15.3512,16.8414,20.56,28.915,41.9484,55.0261,80.8456,154.531,200,-0.137744,9.10077,1.07281,2.12303,0.47187
1.0,-0.00938589,0.0,0.0,0.522,1,2877.68,0.0539551,0,-1,-1,-1,-1,-1,49.9996,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.99241,0.583464,-0.401246,0.0,0.02363,14.6462,15.1248,197.353,93.3984,61.4813,46.0838,31.2177,21.9212,17.8272,15.9369,15.3551,16.8208,20.5202,28.8238,41.7461,54.6734,80.0812,151.764,200,-0.144172,9.10458,2.6008,0.464736,0.47043
1.0,-0.0106352,0.0,0.0,0.542,1,2877.7,0.065918,0,-1,-1,-1,-1,-1,49.9996,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.19029,0.461705,-0.314533,0.0,0.0238297,14.6434,15.1169,200,94.1222,61.7926,46.2563,31.2931,21.9534,17.8438,15.9455,15.3583,16.8055,20.4909,28.757,41.5988,54.4177,79.5308,149.803,200,0.0697545,9.3776,1.13083,2.45939,0.46949
1.0,-0.0114949,0.0,0.0,0.562,1,2877.71,0.0786133,0,-1,-1,-1,-1,-1,49.9995,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.40651,0.381039,-0.232646,0.0,0.0239937,14.6411,15.111,200,94.6293,62.0104,46.3771,31.346,21.9763,17.8558,15.9519,15.3609,16.7946,20.4703,28.7105,41.497,54.2417,79.1542,148.478,200,0.447408,9.1006,2.72406,1.0037,0.468499
1.0,-0.0121792,0.0,0.0,0.582,1,2877.72,0.0927734,0,-1,-1,-1,-1,-1,49.9995,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.62005,0.335962,-0.150123,0.0,0.0241369,14.639,15.1061,200,95.0379,62.1855,46.4742,31.3886,21.9947,17.8655,15.9572,15.3632,16.7857,20.4536,28.6732,41.4157,54.1017,78.8559,147.438,200,-0.439736,9.51732,1.53745,2.90154,0.467908
1.0,-0.0127528,0.0,0.0,0.602,1,2877.74,0.10791,0,-1,-1,-1,-1,-1,49.9995,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.81936,0.305768,-0.0843338,0.0,0.0242703,14.6371,15.1019,200,95.3843,62.3339,46.5565,31.4248,22.0105,17.8739,15.9619,15.3653,16.778,20.4394,28.6416,41.3473,53.9841,78.6064,146.576,200,0.501244,9.79576,3.27086,1.23638,0.468046
1.0,-0.0132211,0.0,0.0,0.622,1,2877.75,0.124268,0,-1,-1,-1,-1,-1,49.9994,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,3.0316,0.269332,-0.0310482,0.0,0.0243927,14.6354,15.0982,200,95.6703,62.4563,46.6245,31.4548,22.0237,17.881,15.9659,15.3672,16.7715,20.4275,28.6155,41.2911,53.8877,78.4028,145.876,200,0.520286,9.98342,2.14745,2.73768,0.468278
