accel,angle,brake,clutch,curLapTime,damage,distFromStart,distRaced,focus,focus_0,focus_1,focus_2,focus_3,focus_4,fuel,gear,lastLapTime,meta,opponents_0,opponents_1,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_2,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_3,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,racePos,rpm,speedX,speedY,speedZ,steer,trackPos,track_0,track_1,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z
1.0,0.0504004,0.0,0.0,0.28,3,2877.65,0.0166016,0,-1,-1,-1,-1,-1,54.9996,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,1.35393,0.122357,-0.172459,0.0,0.00733598,14.9089,15.6463,110.105,67.7455,49.1939,38.8506,27.8272,20.3685,16.9754,15.4541,15.1293,17.7317,22.2044,32.6724,50.604,70.9627,120.261,200,200,1.83825,4.58549,1.62076,5.0929,0.328032
1.0,0.0504329,0.0,0.0,0.3,3,2877.66,0.026123,0,-1,-1,-1,-1,-1,54.9995,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,1.92718,0.105411,-0.123403,0.0,0.00734768,14.9087,15.6463,110.081,67.7366,49.1895,38.8481,27.8262,20.3682,16.9753,15.4541,15.1295,17.7319,22.205,32.6741,50.6087,70.9726,120.291,200,200,4.0317,1.25949,2.56461,0.735703,0.327308
1.0,0.0504453,0.0,0.0,0.32,3,2877.67,0.0380859,0,-1,-1,-1,-1,-1,54.9994,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,2.46233,0.0936843,-0.0622351,0.0,0.00733871,14.9089,15.6465,110.07,67.7324,49.1872,38.8466,27.8254,20.3678,16.975,15.454,15.1293,17.7322,22.2055,32.6751,50.6112,70.9774,120.304,200,200,1.22687,2.63496,0.934927,2.80151,0.326743
1.0,0.0503923,0.0,0.0,0.34,3,2877.69,0.0529785,0,-1,-1,-1,-1,-1,54.9993,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,2.83294,0.101945,-0.0186272,0.0,0.00732473,14.9091,15.6464,110.111,67.7471,49.1946,38.8509,27.8273,20.3685,16.9753,15.4539,15.1291,17.7318,22.2045,32.6722,50.6031,70.9607,120.254,200,200,4.26114,3.67183,5.56875,2.94973,0.326483
1.0,0.0505235,0.0,0.0,0.36,3,2877.7,0.0703125,0,-1,-1,-1,-1,-1,54.9993,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,3.2638,0.0544572,0.0325228,0.0,0.00729586,14.9096,15.6476,110.003,67.7063,49.1732,38.8377,27.8208,20.3655,16.9736,15.4531,15.1287,17.7338,22.2083,32.6815,50.6262,71.0062,120.384,200,200,5.25415,5.9272,5.81271,3.21039,0.326473
1.0,0.0505931,0.0,0.0,0.38,3,2877.72,0.090332,0,-1,-1,-1,-1,-1,54.9992,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,3.84106,0.0934275,0.0674429,0.0,0.00725727,14.9102,15.6485,109.944,67.6832,49.1607,38.8299,27.8168,20.3634,16.9724,15.4522,15.1282,17.7353,22.2109,32.6872,50.6397,71.0321,120.456,200,200,4.18483,3.22333,3.05181,5.10409,0.326655
1.0,0.0505702,0.0,0.0,0.4,3,2877.75,0.113037,0,-1,-1,-1,-1,-1,54.9991,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,4.27271,0.089476,0.0923979,0.0,0.00721397,14.9109,15.6491,109.957,67.6871,49.1621,38.8303,27.8166,20.3629,16.9718,15.4516,15.1275,17.7358,22.2113,32.6872,50.6381,71.0276,120.439,200,200,4.30261,7.15088,6.53927,2.70141,0.326868
1.0,0.0504767,0.0,0.0,0.42,3,2877.77,0.138184,0,-1,-1,-1,-1,-1,54.999,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,4.74335,0.111961,0.0977324,0.0,0.00716737,14.9115,15.6493,110.026,67.7115,49.174,38.8371,27.8193,20.3637,16.9719,15.4512,15.1268,17.7356,22.2101,32.6828,50.6251,71,120.355,200,200,5.7443,3.01912,5.66127,7.07875,0.327069
1.0,0.0503609,0.0,0.0,0.44,3,2877.8,0.16626,0,-1,-1,-1,-1,-1,54.999,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,5.27966,0.115801,0.110975,0.0,0.00711587,14.9122,15.6496,110.113,67.7423,49.1892,38.8457,27.8228,20.3648,16.972,15.4508,15.1259,17.7352,22.2084,32.6771,50.6087,70.9654,120.249,200,200,3.74843,5.17534,4.32129,6.2751,0.327286
1.0,0.0503485,0.0,0.0,0.46,3,2877.83,0.196777,0,-1,-1,-1,-1,-1,54.9989,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,5.7394,0.100186,0.106687,0.0,0.00704861,14.9132,15.6506,110.115,67.7415,49.1878,38.8443,27.8215,20.3637,16.971,15.4498,15.1249,17.7362,22.2096,32.6785,50.61,70.9659,120.245,200,200,6.19028,4.82355,8.0901,4.33253,0.327712
