accel,angle,brake,clutch,curLapTime,damage,distFromStart,distRaced,focus,focus_0,focus_1,focus_2,focus_3,focus_4,fuel,gear,lastLapTime,meta,opponents_0,opponents_1,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_2,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_3,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,racePos,rpm,speedX,speedY,speedZ,steer,trackPos,track_0,track_1,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z
0.0,0.0503461,0.0,0.0,-0.982,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.962,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.942,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.922,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.902,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.882,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.862,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.842,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.822,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
0.0,0.0503461,0.0,0.0,-0.802,3,2877.63,0,0,-1,-1,-1,-1,-1,55,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,0.0855631,0.0334301,-0.00562969,0.0,0.00511792,14.9422,15.681,109.906,67.6124,49.0938,38.7701,27.7683,20.3247,16.9385,15.4202,15.0959,17.7707,22.2527,32.7419,50.708,71.1031,120.477,200,200,0,0,-0.825531,-0.809229,0.328339
