accel,angle,brake,clutch,curLapTime,damage,distFromStart,distRaced,focus,focus_0,focus_1,focus_2,focus_3,focus_4,fuel,gear,lastLapTime,meta,opponents_0,opponents_1,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_2,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_3,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,racePos,rpm,speedX,speedY,speedZ,steer,trackPos,track_0,track_1,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z
1.0,-0.0111974,0.0,0.0,0.4,1,2877.65,0.0251465,0,-1,-1,-1,-1,-1,49.9973,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.02869,0.806249,-0.376031,0.0,0.0177671,14.7344,15.2086,200,93.8841,61.5617,46.056,31.1389,21.836,17.7441,15.8536,15.2675,16.9046,20.6069,28.9082,41.7947,54.6457,79.7853,149.876,200,6.01742,-1.98889,-0.662716,2.36161,0.476292
1.0,-0.013244,0.0,0.0,0.42,1,2877.66,0.03125,0,-1,-1,-1,-1,-1,49.9973,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.22173,0.681458,-0.341624,0.0,0.0180446,14.7306,15.1963,200,95.0907,62.0749,46.3386,31.2612,21.8878,17.7705,15.8671,15.272,16.8804,20.5599,28.8005,41.5572,54.234,78.9035,146.792,200,6.39286,-0.68085,2.97475,-1.58793,0.475274
1.0,-0.0147913,0.0,0.0,0.44,1,2877.67,0.0385742,0,-1,-1,-1,-1,-1,49.9973,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.42351,0.536747,-0.3035,0.0,0.0182741,14.7275,15.1868,200,96.0255,62.4698,46.5555,31.3549,21.9276,17.7909,15.8776,15.2758,16.8618,20.5242,28.7192,41.3786,53.9257,78.2479,144.541,200,6.99447,-1.11711,-0.331192,3.00727,0.474506
1.0,-0.0158418,0.0,0.0,0.46,1,2877.68,0.046875,0,-1,-1,-1,-1,-1,49.9972,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.64994,0.422626,-0.256271,0.0,0.0184585,14.725,15.18,200,96.6732,62.7426,46.7052,31.4198,21.9553,17.8053,15.8852,15.2788,16.8488,20.4995,28.6634,41.2571,53.7168,77.8067,143.046,200,5.031,0.8591,3.15767,-1.01935,0.47357
1.0,-0.0165108,0.0,0.0,0.48,1,2877.69,0.0566406,0,-1,-1,-1,-1,-1,49.9972,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,1.8367,0.335895,-0.205469,0.0,0.0186056,14.7229,15.1751,200,97.0931,62.9193,46.8025,31.4622,21.9737,17.815,15.8905,15.2812,16.84,20.4831,28.6271,41.1788,53.583,77.526,142.106,200,7.30217,-0.414154,-0.207175,3.40962,0.472938
1.0,-0.0169876,0.0,0.0,0.502,1,2877.7,0.0686035,0,-1,-1,-1,-1,-1,49.9971,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.03534,0.28308,-0.155029,0.0,0.0187418,14.721,15.1712,200,97.3972,63.0477,46.8734,31.4934,21.9874,17.8225,15.8948,15.2833,16.8332,20.4709,28.6004,41.1219,53.4863,77.3246,141.439,200,2.57578,6.04996,1.14542,2.42967,0.472522
1.0,-0.017372,0.0,0.0,0.522,1,2877.71,0.0805664,0,-1,-1,-1,-1,-1,49.9971,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.28114,0.24496,-0.116101,0.0,0.018856,14.7194,15.168,200,97.6447,63.1521,46.931,31.5188,21.9987,17.8286,15.8984,15.2851,16.8277,20.4609,28.5788,41.0759,53.4084,77.1626,140.905,200,1.34619,6.2159,2.54804,0.817233,0.472281
1.0,-0.0175818,0.0,0.0,0.542,1,2877.72,0.09375,0,-1,-1,-1,-1,-1,49.9971,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.45861,0.241677,-0.0728165,0.0,0.0189588,14.7179,15.1656,200,97.784,63.2116,46.9643,31.5339,22.0057,17.8326,15.9009,15.2867,16.824,20.4546,28.5658,41.0491,53.3637,77.0713,140.609,200,2.23103,6.97865,1.37022,2.6955,0.471924
1.0,-0.0177558,0.0,0.0,0.562,1,2877.74,0.108154,0,-1,-1,-1,-1,-1,49.997,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.67666,0.205037,-0.0413657,0.0,0.0190572,14.7165,15.1635,200,97.9011,63.2618,46.9926,31.5468,22.0117,17.8362,15.9032,15.2883,16.8207,20.4491,28.5547,41.0264,53.326,76.9947,140.363,200,0.706523,9.29058,2.99504,1.23468,0.47201
1.0,-0.0179408,0.0,0.0,0.582,1,2877.75,0.123779,0,-1,-1,-1,-1,-1,49.997,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,2.88213,0.220717,-0.0206467,0.0,0.0191543,14.7151,15.1613,200,98.0252,63.3149,47.0224,31.5604,22.0181,17.8399,15.9056,15.2898,16.8173,20.4434,28.5431,41.0026,53.2864,76.914,140.103,200,0.582651,9.52095,1.89449,2.80657,0.472571
